,,256,,128,,64,,32,,16,,pca 99%,
,,rbf,matern32,rbf,matern32,rbf,matern32,rbf,matern32,rbf,matern32,rbf,matern32
Training data absolute difference,10,31.31,16.60,32.60,57.17,34.63,58.73,24.17,58.85,41.27,54.43,22.68,23.08
,100,54.31,37.51,57.07,77.45,58.70,79.28,54.04,78.80,64.00,75.99,48.24,51.97
,1000,76.39,64.70,78.34,93.46,79.50,94.82,74.44,94.48,84.00,91.38,69.51,71.11
,10000,91.82,82.24,92.49,98.88,93.85,98.90,92.04,98.82,94.53,99.24,88.39,87.71
,,,,,,,,,,,,,
Testing data absolute difference,10,18.22,10.49,18.95,26.59,18.03,26.77,12.88,25.94,20.42,24.75,12.83,13.43
,100,30.63,23.46,33.58,39.56,33.21,38.64,27.69,39.28,32.38,37.63,28.59,27.60
,1000,52.25,39.56,54.00,60.07,53.54,60.07,47.01,57.96,49.68,56.30,47.29,45.45
,10000,78.29,72.59,77.92,81.14,78.29,80.40,76.91,82.34,77.09,80.13,75.08,72.68
